,s1.c2,s10.c2,s11.c2,s12.c2,s2.c2,s3.c2,s4.c2,s5.c2,s6.c2,s7.c2,s8.c2,s9.c2
Cers6,10.7734933630815,10.8534493277758,10.7736027988769,10.6533908690394,10.7132077806743,10.6863489474156,10.6667854550821,10.9826517348925,10.9261705892638,11.0328759514214,11.1726513735924,10.7366825997399
Gm14023,3.06925485737197,3.09537127961098,3.06740785901828,3.09530946222382,3.07059423469283,3.05286275307399,3.05320436581442,3.05309616023306,3.0440995916497,3.08979449386125,3.06155127791527,3.08771408834848
Bpifb1,4.71807440424391,4.75161294547207,4.71072614988038,4.8009179707473,4.72969624215824,5.23428122211068,4.88655240519744,4.96450926439842,5.05508540920099,4.59138722484023,4.84892422088655,4.85381092818897
Mir2861,2.61330215400973,2.6273924041185,2.62459939981125,2.63797734758604,2.62347757664576,2.61911670325259,2.64606049167246,2.61410311147229,2.62516605239553,2.63231993009595,2.59199819390129,2.64863076767777
B2m,14.788732460657,15.1578842036166,15.1844513601089,15.0355773008285,14.8024938300028,14.7128096119914,14.8395895884426,16.228876332871,16.1622882722501,16.2254053337691,16.2474994165984,15.1050575123415
Gm14440,9.93657479988696,10.0731269152792,9.84178294499864,9.894755089744,9.88828490371059,9.90437114010458,9.79384951390977,9.65227049500266,9.5427100324553,9.75796776634187,9.81551724779133,9.91527655655548
Samd10,4.06771223738163,4.08079464195601,4.08517503923793,4.11994427731928,4.1197518080611,4.09710811939594,4.06929141143553,4.06517249590762,4.0623425058239,4.08060579720714,4.07365326708619,4.13000422255175
Ubac1,9.2298900886535,9.12395788173099,9.18440039164091,9.24043312268155,9.2582838439219,9.29073087304901,9.21192077588949,9.20826753510542,9.33578162564265,9.24289208660563,9.2656694527245,9.2798657275366
Cstf1,9.21532183238932,9.16162519969195,9.18618104970629,9.14558808332281,9.08800159499533,9.08516823046511,9.13622908627943,9.18212410951555,9.27366725026325,9.25194476477913,9.24147687534828,9.12584810304566
Cstf3,8.76152238365971,8.76282546516179,8.7496657096569,8.74344158577686,8.7352499885921,8.78351831080333,8.80872989247005,8.99263803450135,8.96987008680767,8.93476152010133,8.91577406231464,8.7137851224005
Mettl8,7.23138651406275,7.32557682575138,7.35013573490018,7.36076831754692,7.27901764777208,7.27978248675433,7.31297475112075,7.37995262694354,7.3901696230979,7.36484587496686,7.32102102795369,7.38342495561506
Cebpb,13.3199902339739,13.1676941001757,13.0146467350504,13.1842120346934,13.2577622435543,13.2710001418781,13.2620838507266,12.9803050922614,13.0020183908572,13.1418278576587,12.9811788491672,13.1271794083519
Acvr1,10.796765689664,10.6034330232448,10.7141417221387,10.6402529160432,10.857026362501,10.8200386880592,10.886822566261,10.7762833033225,10.791112440498,10.7173914160459,10.7244963439396,10.6785228332572
Vps18,9.79157633429097,9.66751321008653,9.73199912772234,9.74988639027613,9.73509028066769,9.73361604539499,9.67508078641169,9.65664722571404,9.71422451250953,9.65121283014642,9.69186082657593,9.66860444325873
Fubp3,10.3375555601671,10.3236811213765,10.2315717218097,10.2462115748751,10.2240278337786,10.2775207056683,10.2652450773996,10.3557907643653,10.3931325184673,10.4317490461444,10.4293848213477,10.24749514909
Mettl5,7.12818303677732,7.1884367150808,7.11591531847121,7.17603036376427,7.20609124377535,7.23235611137543,7.12841288423584,7.21481177494868,7.074781755517,7.1210382845265,7.16486646637304,7.12631490264714
Slc25a12,10.084864545616,10.1776410765559,10.1506025604643,10.15750410663,10.0534471940607,10.1307869005416,10.1617700343949,10.0444802048466,10.0824488251211,10.0321476347318,9.9942629547129,10.1841923452751
Rtel1,9.72558840712494,9.64191511179862,9.64773716375423,9.75190020876171,9.64125294272072,9.57983486616615,9.5365238121034,9.70047459803982,9.73511205844638,9.79070808304534,9.72985609210061,9.59221710780095
Nmt2,10.1590955018994,10.0169828393291,10.0123000718754,10.1084895336264,10.2165719441582,10.2031633049485,10.1493764927133,10.0366942616084,10.0507785538257,10.0688699604891,10.0264673109733,10.0885435738052
Aven,8.02246463999062,8.03519998004882,8.04624521221078,8.02114104586457,8.03566122839496,8.12239651741991,8.08136433210605,8.15358645314517,8.16348669833143,8.06570617714453,8.1318425288046,8.05829681363942
March7,10.0192868251897,10.152966398871,10.0093042019213,10.0660499287854,9.90632027727297,10.0650238080324,10.023624344247,10.0047374425032,10.0291271923861,10.0140858585762,9.99873959549758,10.0643896008371
Rbck1,11.1952352333877,11.1593180309255,11.2051438953255,11.2460569513238,11.1714671458215,11.2086350863158,11.1183598224076,11.1242265444318,11.1720968646952,11.0891030598008,11.1384652677107,11.1834202636226
Rabgap1,10.7860851701965,10.8045982092405,10.8280327086931,10.7432738223732,10.7714564291891,10.7592757045101,10.8328158723881,10.7760806551707,10.7982640078752,10.7870102331015,10.7982289515435,10.8121528209376
Npdc1,11.3506722371214,11.4435387578154,11.533539408241,11.6264273920944,11.3661573491515,11.4049371581137,11.3646329251134,11.2159877701369,11.2576777015875,11.1288972421996,11.0763134913466,11.500713801296
Zswim1,7.93000620880078,7.92149022498469,7.97807660626133,7.92863072070376,7.92962510297369,7.9101862634622,7.89532390844377,7.8950390889654,7.86720808876173,7.83006054699658,7.89436878757259,7.89327811895393
Zswim3,7.2504025330177,7.19754112048225,7.31023812468787,7.27465085803745,7.19274669317284,7.16022037741569,7.16533998278591,7.15761335687919,7.19880908235872,7.11863839391025,7.14910605519046,7.18108100611692
Ppp1r16b,5.57758460658894,5.66842611380593,5.64893353238905,5.64327258362115,5.58199279307191,5.65178832228133,5.49225792097705,5.59067588998657,5.58986573207056,5.53956278427801,5.7047541343502,5.67202414237288
Ndrg3,10.5440911913287,10.5872152553813,10.7137792102198,10.6412935988487,10.53782603863,10.5990622868133,10.5965626586079,10.6314769835761,10.7042134419379,10.5164132389162,10.5913984784927,10.6536865610445
Ttc30a2,7.29323148712449,7.28536297096695,7.3506441559925,7.31904088234213,7.25038955199467,7.2604812891347,7.3222907478849,7.19314599148368,7.22728160275373,7.15190868058815,7.12170249548832,7.27665664710718
Ttc30a1,7.51774586347512,7.53883258671338,7.6306832379672,7.62395628541483,7.5260143097988,7.54868463615166,7.5894854643361,7.5672690348072,7.61202186768425,7.49750089007758,7.4634270144455,7.59185386591411
Madd,8.4974657730344,8.42235404066902,8.35501647676682,8.47718421508412,8.46654536032789,8.53156668207717,8.36516027092851,8.51562532069934,8.49015945922403,8.49247570137695,8.53671437420831,8.3659677664872
H13,11.9539742735321,11.8953905521215,12.0208215881906,11.9169876905728,11.9755283305747,11.8893209514443,11.9103626343546,12.0566748696831,12.0660709433759,12.0268472864372,12.1096395011447,11.9263406828569
Rpap1,9.79463066913633,9.69997177734408,9.68305599936059,9.77386478669418,9.72942195720881,9.77143051704476,9.63179050345726,9.81729040526431,9.84773519312436,9.8226424112719,9.87147363752581,9.66520785327662
Lama5,11.0956918363523,11.0224980540926,11.093949059451,11.0259081122788,10.6826843374179,11.0519062245897,10.7939946655411,11.6164487465793,11.8412030693453,11.4005301768151,11.7264826830359,10.8342448779242
