,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
OTTMUSG00000016609,138.013952291577,22.2588164351945,3.70244978121909,6.38297110643218,1.73684687061226e-10,1.38831500740147e-09,4.58961877187742e-07
Grem1,287.38880209685,9.09831139780583,0.984692562951379,9.65608966551555,4.63208235452075e-22,1.40377829132837e-20,1.3794125760143e-16
Slco4a1,52.4530705311396,9.05069279497998,1.11447574455901,8.59144331091632,8.58835798117352e-18,1.80190356874237e-16,1.94361108202849e-13
Il1rn,51.1895434715635,8.7156838604852,1.31513721618887,7.15545553527611,8.33955179957782e-13,9.47755313889522e-12,2.54041901493207e-09
Bub1,83.4741940738706,7.55747055585937,0.789034977128984,9.83037422408072,8.33086234047691e-23,2.75423357983646e-21,9.1863422707605e-17
Slc2a6,13.4220230911773,6.98864368834908,1.11986686479704,6.60849566343215,3.88244909338349e-11,3.47192783678803e-10,5.57777893314076e-08
AA467197,28.2375399329485,6.78097408044273,1.05012073386966,6.79870259971212,1.05565480993999e-11,9.92861549693562e-11,2.23349092864607e-08
Lcn2,1970.74053965895,6.76557952032886,0.410960610787118,16.5869544693262,8.66018758904059e-62,1.57471077660721e-59,1.30428946923232e-44
Syt13,80.8067153563222,6.5700084349674,0.862504428487877,7.89160050200323,2.98335433590417e-15,4.85796952309172e-14,5.40309081843983e-11
Mmp9,93.4381368513588,5.79693042727715,0.721900972150795,8.26872160806708,1.35403030485734e-16,2.59166151333222e-15,9.82852442595182e-12
Mcm10,58.6983824687527,5.35154490873811,0.523665558481497,10.3975329392315,2.54435349700006e-25,1.02810728341743e-23,4.73047801943833e-17
Casc5,56.4574590517343,5.22859248113918,0.535056436993964,9.95672259716763,2.35704996037895e-23,8.2952951831401e-22,9.61017863166388e-16
Ly75,18.2595266631878,4.77043238951078,0.775699033621969,6.46585485694489,1.00727726578294e-10,8.38885112190216e-10,3.27630131433186e-07
Slpi,33.7553868255841,4.55013711425515,0.657063652445278,7.19755007825599,6.13040372841119e-13,7.11518134861342e-12,1.34678398531765e-08
Fam83d,33.0754512250989,4.46085851973963,0.666598790490198,6.97983830937273,2.95519977810876e-12,3.04162543199685e-11,7.63924791253731e-08
Ckap2l,169.145354825918,4.21882804776663,0.327214560573219,13.0267246027452,8.62304988355016e-39,1.04530526921702e-36,3.96465112430196e-23
Wfdc12,8.13098477682593,4.21460297572294,1.26961087660416,4.34862846525343,1.3699156420661e-05,5.37617973199323e-05,0.00137986455261371
Tpx2,319.868478316156,3.99464938324304,0.343853681809004,11.774760188753,5.26666631413283e-32,3.19218497151051e-30,1.18230788284467e-18
Spc25,64.6456274835306,3.86824739290895,0.438849854830685,9.04264258709451,1.52929231255399e-19,3.70768425110312e-18,1.73944793699111e-11
