,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,svalue
OTTMUSG00000016609,138.013952291577,21.1952431318349,3.58741841799322,6.08282507017305,1.18083160727717e-09,4.2942909451313e-07,1.86732322918855e-05
Grem1,287.38880209685,4.66599378062918,0.996722161491924,5.1829098401225,2.18450652947076e-07,2.648107359614e-05,0.000518600337775818
Il1rn,51.1895434715635,4.47780872953465,1.91986217959901,4.31504242066522,1.59572257954776e-05,0.00124352381020472,0.0255668563282103
Slpi,33.7553868255841,3.52722618410011,0.650509259816104,5.61456706395716,1.97054992979774e-08,3.07124281915619e-06,0.000108833786042903
Snhg11,65.1559696614475,2.6300564606978,0.318901471515826,8.31013508103103,9.55931927625403e-17,1.04292173303931e-13,4.25400897643333e-07
Syt13,80.8067153563222,2.31576956764575,1.55207319043382,3.8975121745082,9.71859380264673e-05,0.00504904087556552,0.0673313140295511
Lcn2,1970.74053965895,1.7578500826598,0.536539474703167,4.62449306496466,3.75515648251824e-06,0.000315144286340569,0.013720349736731
Slc2a6,13.4220230911773,1.61329373227038,1.93636438438173,3.54042532782465,0.000399482663117275,0.0136198620456546,0.156019086840607
Wfdc12,8.13098477682593,1.60148320268363,1.8566273012665,3.55328897726095,0.000380446292412718,0.0136198620456546,0.115304614765908
Ryr3,95.8662395067218,1.25474578341458,0.248677900649143,5.9579828767806,2.55370266462882e-09,6.96522401777512e-07,0.0418137706742034
Fbln7,482.880547635493,0.876055367960723,0.190264451628732,5.38450602043168,7.26438726610301e-08,9.90680813414798e-06,0.205174904426302
Ggt7,146.02049472673,0.68004715935912,0.178304976488785,4.81423286537934,1.47766420865859e-06,0.000134344304303877,0.555195876001901
Nnat,218.481723271229,0.490668255132959,0.351064611211406,3.70836445583351,0.000208602272332604,0.00875327227364889,0.338335802650222
B2m,50538.3221328461,0.488668877631192,0.0714401712299929,7.08741288928913,1.36642256569764e-12,7.45383509588062e-10,0.970746626380955
Gpr176,508.491543754967,0.434196758452396,0.240237076663277,3.90623473905418,9.3745447427247e-05,0.00504904087556552,0.8358258224833
Prr5l,863.267127264337,0.283182573523545,0.220264436414619,3.50618538332517,0.000454578490871335,0.0145866215747243,0.919412625168641
Frmd5,64.3119967928788,0.243003713104004,0.318391267349236,3.12064392188793,0.00180456092860858,0.0427994776763469,0.492894470036347
Zc3h6,457.247114347371,0.230554376179259,0.175906075833888,3.45858475463326,0.000543021391871886,0.0169267525294922,0.950420407563531
Rapsn,30.4091221676464,0.224142371257906,0.312840556472147,3.06125577320997,0.00220410722547427,0.0466859224194181,0.515583320895199
Npdc1,2652.69684243657,0.137195480707662,0.0640293654825419,3.34377908001526,0.000826455217058347,0.023255364360126,0.980868717615074
Dpp7,1231.57352158615,0.131368479885072,0.0646112260829611,3.21295587485921,0.0013137647164888,0.0334925930890382,0.979612996377454
Ndufs3,1292.44030402385,0.127039210215698,0.0468957862452325,3.51264614993418,0.000443667920516158,0.0145866215747243,0.986530015463675
BC005624,1246.92474851389,0.110748745794421,0.0402571048473839,3.34215374886678,0.000831310000041167,0.023255364360126,0.990157998251185
Vps39,1680.15230811852,0.106907108730526,0.0441093221856245,3.06372450331758,0.00218600115943241,0.0466859224194181,0.989168750895919
Crat,1535.89566910453,-0.104576565169009,0.0391716916884617,-3.21158342430346,0.00132005637289518,0.0334925930890382,0.982131188026262
Nckap1,4926.50974520929,-0.110506086624023,0.0443318926571261,-3.15610070900926,0.00159893642605906,0.0387653253517874,0.984826913970576
2900097C17Rik,8717.43288986039,-0.111036495250452,0.0476810276009244,-3.05840625609118,0.00222517687058638,0.0466859224194181,0.98938646444575
Csnk2a1,2672.92818037893,-0.115853905507424,0.0394116948846822,-3.54126392910857,0.000398215026786201,0.0136198620456546,0.982544681195903
Cbfa2t2,1213.09585061265,-0.116810486306052,0.0419219362476888,-3.43853415585303,0.000584872749543194,0.0177248936042118,0.989626259453361
Spred1,2414.68575149796,-0.116933906839813,0.0490927477464854,-3.17246576110563,0.00151150381034119,0.0374784240245964,0.987413029944602
Rnf24,848.188293795197,-0.119198345958434,0.0552393679629539,-3.08559438287096,0.00203145738790832,0.0461733335459995,0.985105122882258
Trim44,3551.3057141491,-0.123160739697269,0.0346307145778001,-4.10855999183362,3.98133790038022e-05,0.00257481156968304,0.987137067141926
